code,tramo,nivel,warehouse_id,location_type
GC-P4-T16-N4,940,1,1,STORAGE
GC-P4-T16-N30,939,1,1,STORAGE
GC-P4-T16-N3,938,1,1,STORAGE
GC-P4-T16-N29,937,1,1,STORAGE
GC-P4-T16-N28,936,1,1,STORAGE
GC-P4-T16-N27,935,1,1,STORAGE
GC-P4-T16-N26,934,1,1,STORAGE
GC-P4-T16-N25,933,1,1,STORAGE
GC-P4-T16-N24,932,1,1,STORAGE
GC-P4-T16-N23,931,1,1,STORAGE
GC-P4-T16-N22,930,1,1,STORAGE
GC-P4-T16-N21,929,1,1,STORAGE
GC-P4-T16-N20,928,1,1,STORAGE
GC-P4-T16-N2,927,1,1,STORAGE
GC-P4-T16-N19,926,1,1,STORAGE
GC-P4-T16-N18,925,1,1,STORAGE
GC-P4-T16-N17,924,1,1,STORAGE
GC-P4-T16-N16,923,1,1,STORAGE
GC-P4-T16-N15,922,1,1,STORAGE
GC-P4-T16-N14,921,1,1,STORAGE
GC-P4-T16-N13,920,1,1,STORAGE
GC-P4-T16-N12,919,1,1,STORAGE
GC-P4-T16-N11,918,1,1,STORAGE
GC-P4-T16-N10,917,1,1,STORAGE
GC-P4-T16-N1,916,1,1,STORAGE
GC-P4-T15-N9,915,1,1,STORAGE
GC-P4-T15-N8,914,1,1,STORAGE
GC-P4-T15-N7,913,1,1,STORAGE
GC-P4-T15-N6,912,1,1,STORAGE
GC-P4-T15-N5,911,1,1,STORAGE
GC-P4-T15-N4,910,1,1,STORAGE
GC-P4-T15-N3,909,1,1,STORAGE
GC-P4-T15-N25,908,1,1,STORAGE
GC-P4-T15-N24,907,1,1,STORAGE
GC-P4-T15-N23,906,1,1,STORAGE
GC-P4-T15-N22,905,1,1,STORAGE
GC-P4-T15-N21,904,1,1,STORAGE
GC-P4-T15-N20,903,1,1,STORAGE
GC-P4-T15-N2,902,1,1,STORAGE
GC-P4-T15-N19,901,1,1,STORAGE
GC-P4-T15-N18,900,1,1,STORAGE
GC-P4-T15-N17,899,1,1,STORAGE
GC-P4-T15-N16,898,1,1,STORAGE
GC-P4-T15-N15,897,1,1,STORAGE
GC-P4-T15-N14,896,1,1,STORAGE
GC-P4-T15-N13,895,1,1,STORAGE
GC-P4-T15-N12,894,1,1,STORAGE
GC-P4-T15-N11,893,1,1,STORAGE
GC-P4-T15-N10,892,1,1,STORAGE
GC-P4-T15-N1,891,1,1,STORAGE
GC-P4-T14-N9,890,1,1,STORAGE
GC-P4-T14-N8,889,1,1,STORAGE
GC-P4-T14-N7,888,1,1,STORAGE
GC-P4-T14-N6,887,1,1,STORAGE
GC-P4-T14-N5,886,1,1,STORAGE
GC-P4-T14-N4,885,1,1,STORAGE
GC-P4-T14-N3,884,1,1,STORAGE
GC-P4-T14-N25,883,1,1,STORAGE
GC-P4-T14-N24,882,1,1,STORAGE
GC-P4-T14-N23,881,1,1,STORAGE
GC-P4-T14-N22,880,1,1,STORAGE
GC-P4-T14-N21,879,1,1,STORAGE
GC-P4-T14-N20,878,1,1,STORAGE
GC-P4-T14-N2,877,1,1,STORAGE
GC-P4-T14-N19,876,1,1,STORAGE
GC-P4-T14-N18,875,1,1,STORAGE
GC-P4-T14-N17,874,1,1,STORAGE
GC-P4-T14-N16,873,1,1,STORAGE
GC-P4-T14-N15,872,1,1,STORAGE
GC-P4-T14-N14,871,1,1,STORAGE
GC-P4-T14-N13,870,1,1,STORAGE
GC-P4-T14-N12,869,1,1,STORAGE
GC-P4-T14-N11,868,1,1,STORAGE
GC-P4-T14-N10,867,1,1,STORAGE
GC-P4-T14-N1,866,1,1,STORAGE
GC-P4-T13-N9,865,1,1,STORAGE
GC-P4-T13-N8,864,1,1,STORAGE
GC-P4-T13-N7,863,1,1,STORAGE
GC-P4-T13-N6,862,1,1,STORAGE
GC-P4-T13-N5,861,1,1,STORAGE
GC-P4-T13-N4,860,1,1,STORAGE
GC-P4-T13-N3,859,1,1,STORAGE
GC-P4-T13-N2,858,1,1,STORAGE
GC-P4-T13-N16,857,1,1,STORAGE
GC-P4-T13-N15,856,1,1,STORAGE
GC-P4-T13-N14,855,1,1,STORAGE
GC-P4-T13-N13,854,1,1,STORAGE
GC-P4-T13-N12,853,1,1,STORAGE
GC-P4-T13-N11,852,1,1,STORAGE
GC-P4-T13-N10,851,1,1,STORAGE
GC-P4-T13-N1,850,1,1,STORAGE
GC-P4-T12-N9,849,1,1,STORAGE
GC-P4-T12-N8,848,1,1,STORAGE
GC-P4-T12-N7,847,1,1,STORAGE
GC-P4-T12-N6,846,1,1,STORAGE
GC-P4-T12-N5,845,1,1,STORAGE
GC-P4-T12-N4,844,1,1,STORAGE
GC-P4-T12-N3,843,1,1,STORAGE
GC-P4-T12-N25,842,1,1,STORAGE
GC-P4-T12-N24,841,1,1,STORAGE
GC-P4-T12-N23,840,1,1,STORAGE
GC-P4-T12-N22,839,1,1,STORAGE
GC-P4-T12-N21,838,1,1,STORAGE
GC-P4-T12-N20,837,1,1,STORAGE
GC-P4-T12-N2,836,1,1,STORAGE
GC-P4-T12-N19,835,1,1,STORAGE
GC-P4-T12-N18,834,1,1,STORAGE
GC-P4-T12-N17,833,1,1,STORAGE
GC-P4-T12-N16,832,1,1,STORAGE
GC-P4-T12-N15,831,1,1,STORAGE
GC-P4-T12-N14,830,1,1,STORAGE
GC-P4-T12-N13,829,1,1,STORAGE
GC-P4-T12-N12,828,1,1,STORAGE
GC-P4-T12-N11,827,1,1,STORAGE
GC-P4-T12-N10,826,1,1,STORAGE
GC-P4-T12-N1,825,1,1,STORAGE
GC-P4-T11-N9,824,1,1,STORAGE
GC-P4-T11-N8,823,1,1,STORAGE
GC-P4-T11-N7,822,1,1,STORAGE
GC-P4-T11-N6,821,1,1,STORAGE
GC-P4-T11-N5,820,1,1,STORAGE
GC-P4-T11-N4,819,1,1,STORAGE
GC-P4-T11-N3,818,1,1,STORAGE
GC-P4-T11-N2,817,1,1,STORAGE
GC-P4-T11-N16,816,1,1,STORAGE
GC-P4-T11-N15,815,1,1,STORAGE
GC-P4-T11-N14,814,1,1,STORAGE
GC-P4-T11-N13,813,1,1,STORAGE
GC-P4-T11-N12,812,1,1,STORAGE
GC-P4-T11-N11,811,1,1,STORAGE
GC-P4-T11-N10,810,1,1,STORAGE
GC-P4-T11-N1,809,1,1,STORAGE
GC-P4-T10-N9,808,1,1,STORAGE
GC-P4-T10-N8,807,1,1,STORAGE
GC-P4-T10-N7,806,1,1,STORAGE
GC-P4-T10-N6,805,1,1,STORAGE
GC-P4-T10-N5,804,1,1,STORAGE
GC-P4-T10-N4,803,1,1,STORAGE
GC-P4-T10-N3,802,1,1,STORAGE
GC-P4-T10-N22,801,1,1,STORAGE
GC-P4-T10-N21,800,1,1,STORAGE
GC-P4-T10-N20,799,1,1,STORAGE
GC-P4-T10-N2,798,1,1,STORAGE
GC-P4-T10-N19,797,1,1,STORAGE
GC-P4-T10-N18,796,1,1,STORAGE
GC-P4-T10-N17,795,1,1,STORAGE
GC-P4-T10-N16,794,1,1,STORAGE
GC-P4-T10-N15,793,1,1,STORAGE
GC-P4-T10-N14,792,1,1,STORAGE
GC-P4-T10-N13,791,1,1,STORAGE
GC-P4-T10-N12,790,1,1,STORAGE
GC-P4-T10-N11,789,1,1,STORAGE
GC-P4-T10-N10,788,1,1,STORAGE
GC-P4-T10-N1,787,1,1,STORAGE
GC-P4-T09-N9,786,1,1,STORAGE
GC-P4-T09-N8,785,1,1,STORAGE
GC-P4-T09-N7,784,1,1,STORAGE
GC-P4-T09-N6,783,1,1,STORAGE
GC-P4-T09-N5,782,1,1,STORAGE
GC-P4-T09-N4,781,1,1,STORAGE
GC-P4-T09-N3,780,1,1,STORAGE
GC-P4-T09-N22,779,1,1,STORAGE
GC-P4-T09-N21,778,1,1,STORAGE
GC-P4-T09-N20,777,1,1,STORAGE
GC-P4-T09-N2,776,1,1,STORAGE
GC-P4-T09-N19,775,1,1,STORAGE
GC-P4-T09-N18,774,1,1,STORAGE
GC-P4-T09-N17,773,1,1,STORAGE
GC-P4-T09-N16,772,1,1,STORAGE
GC-P4-T09-N15,771,1,1,STORAGE
GC-P4-T09-N14,770,1,1,STORAGE
GC-P4-T09-N13,769,1,1,STORAGE
GC-P4-T09-N12,768,1,1,STORAGE
GC-P4-T09-N11,767,1,1,STORAGE
GC-P4-T09-N10,766,1,1,STORAGE
GC-P4-T09-N1,765,1,1,STORAGE
GC-P4-T08-N9,764,1,1,STORAGE
GC-P4-T08-N8,763,1,1,STORAGE
GC-P4-T08-N7,762,1,1,STORAGE
GC-P4-T08-N6,761,1,1,STORAGE
GC-P4-T08-N5,760,1,1,STORAGE
GC-P4-T08-N4,759,1,1,STORAGE
GC-P4-T08-N3,758,1,1,STORAGE
GC-P4-T08-N25,757,1,1,STORAGE
GC-P4-T08-N24,756,1,1,STORAGE
GC-P4-T08-N23,755,1,1,STORAGE
GC-P4-T08-N22,754,1,1,STORAGE
GC-P4-T08-N21,753,1,1,STORAGE
GC-P4-T08-N20,752,1,1,STORAGE
GC-P4-T08-N2,751,1,1,STORAGE
GC-P4-T08-N19,750,1,1,STORAGE
GC-P4-T08-N18,749,1,1,STORAGE
GC-P4-T08-N17,748,1,1,STORAGE
GC-P4-T08-N16,747,1,1,STORAGE
GC-P4-T08-N15,746,1,1,STORAGE
GC-P4-T08-N14,745,1,1,STORAGE
GC-P4-T08-N13,744,1,1,STORAGE
GC-P4-T08-N12,743,1,1,STORAGE
GC-P4-T08-N11,742,1,1,STORAGE
GC-P4-T08-N10,741,1,1,STORAGE
GC-P4-T08-N1,740,1,1,STORAGE
GC-P4-T07-N9,739,1,1,STORAGE
GC-P4-T07-N8,738,1,1,STORAGE
GC-P4-T07-N7,737,1,1,STORAGE
GC-P4-T07-N6,736,1,1,STORAGE
GC-P4-T07-N5,735,1,1,STORAGE
GC-P4-T07-N4,734,1,1,STORAGE
GC-P4-T07-N3,733,1,1,STORAGE
GC-P4-T07-N25,732,1,1,STORAGE
GC-P4-T07-N24,731,1,1,STORAGE
GC-P4-T07-N23,730,1,1,STORAGE
GC-P4-T07-N22,729,1,1,STORAGE
GC-P4-T07-N21,728,1,1,STORAGE
GC-P4-T07-N20,727,1,1,STORAGE
GC-P4-T07-N2,726,1,1,STORAGE
GC-P4-T07-N19,725,1,1,STORAGE
GC-P4-T07-N18,724,1,1,STORAGE
GC-P4-T07-N17,723,1,1,STORAGE
GC-P4-T07-N16,722,1,1,STORAGE
GC-P4-T07-N15,721,1,1,STORAGE
GC-P4-T07-N14,720,1,1,STORAGE
GC-P4-T07-N13,719,1,1,STORAGE
GC-P4-T07-N12,718,1,1,STORAGE
GC-P4-T07-N11,717,1,1,STORAGE
GC-P4-T07-N10,716,1,1,STORAGE
GC-P4-T07-N1,715,1,1,STORAGE
GC-P4-T06-N9,714,1,1,STORAGE
GC-P4-T06-N8,713,1,1,STORAGE
GC-P4-T06-N7,712,1,1,STORAGE
GC-P4-T06-N6,711,1,1,STORAGE
GC-P4-T06-N5,710,1,1,STORAGE
GC-P4-T06-N4,709,1,1,STORAGE
GC-P4-T06-N3,708,1,1,STORAGE
GC-P4-T06-N25,707,1,1,STORAGE
GC-P4-T06-N24,706,1,1,STORAGE
GC-P4-T06-N23,705,1,1,STORAGE
GC-P4-T06-N22,704,1,1,STORAGE
GC-P4-T06-N21,703,1,1,STORAGE
GC-P4-T06-N20,702,1,1,STORAGE
GC-P4-T06-N2,701,1,1,STORAGE
GC-P4-T06-N19,700,1,1,STORAGE
GC-P4-T06-N18,699,1,1,STORAGE
GC-P4-T06-N17,698,1,1,STORAGE
GC-P4-T06-N16,697,1,1,STORAGE
GC-P4-T06-N15,696,1,1,STORAGE
GC-P4-T06-N14,695,1,1,STORAGE
GC-P4-T06-N13,694,1,1,STORAGE
GC-P4-T06-N12,693,1,1,STORAGE
GC-P4-T06-N11,692,1,1,STORAGE
GC-P4-T06-N10,691,1,1,STORAGE
GC-P4-T06-N1,690,1,1,STORAGE
GC-P4-T05-N9,689,1,1,STORAGE
GC-P4-T05-N8,688,1,1,STORAGE
GC-P4-T05-N7,687,1,1,STORAGE
GC-P4-T05-N6,686,1,1,STORAGE
GC-P4-T05-N5,685,1,1,STORAGE
GC-P4-T05-N4,684,1,1,STORAGE
GC-P4-T05-N35,683,1,1,STORAGE
GC-P4-T05-N34,682,1,1,STORAGE
GC-P4-T05-N33,681,1,1,STORAGE
GC-P4-T05-N32,680,1,1,STORAGE
GC-P4-T05-N31,679,1,1,STORAGE
GC-P4-T05-N30,678,1,1,STORAGE
GC-P4-T05-N3,677,1,1,STORAGE
GC-P4-T05-N29,676,1,1,STORAGE
GC-P4-T05-N28,675,1,1,STORAGE
GC-P4-T05-N27,674,1,1,STORAGE
GC-P4-T05-N26,673,1,1,STORAGE
